employee_id,skill_name,proficiency_level,years_experience,is_primary_skill,certified,last_used
EMP025,Kotlin,4,3.0,TRUE,TRUE,2023-10-01
EMP025,Android,4,3.5,FALSE,TRUE,2023-10-01
EMP025,Java,4,3.5,FALSE,FALSE,2023-09-30
EMP025,REST APIs,4,3.0,FALSE,FALSE,2023-09-28
EMP026,Product Management,4,3.0,TRUE,FALSE,2023-10-01
EMP026,Agile/Scrum,4,3.5,FALSE,TRUE,2023-09-30
EMP026,Jira,5,3.5,FALSE,FALSE,2023-10-01
EMP026,User Research,4,2.5,FALSE,FALSE,2023-09-28
EMP027,Python,5,8.0,TRUE,TRUE,2023-10-01
EMP027,Node.js,5,7.5,FALSE,TRUE,2023-09-30
EMP027,PostgreSQL,5,8.0,FALSE,TRUE,2023-10-01
EMP027,Microservices,5,7.0,FALSE,FALSE,2023-09-28
EMP027,System Design,5,8.5,FALSE,FALSE,2023-10-01
EMP027,AWS,5,7.0,FALSE,TRUE,2023-09-25
EMP028,Selenium,5,5.5,TRUE,TRUE,2023-10-01
EMP028,Jest,5,4.5,FALSE,TRUE,2023-09-30
EMP028,Cypress,5,4.0,FALSE,TRUE,2023-09-28
EMP028,Test Automation,5,6.0,FALSE,FALSE,2023-10-01
EMP028,API Testing,5,5.0,FALSE,FALSE,2023-09-25
EMP029,Python,5,6.5,TRUE,TRUE,2023-10-01
EMP029,Apache Spark,5,5.0,FALSE,TRUE,2023-09-30
EMP029,SQL,5,6.0,FALSE,TRUE,2023-10-01
EMP029,ETL,4,5.5,FALSE,FALSE,2023-09-28
EMP029,AWS,4,5.0,FALSE,FALSE,2023-09-25
EMP029,Data Modeling,5,6.0,FALSE,FALSE,2023-10-01
EMP030,React,4,2.5,FALSE,FALSE,2023-10-01
EMP030,Node.js,4,2.5,TRUE,FALSE,2023-10-01
EMP030,Express.js,4,2.0,FALSE,FALSE,2023-09-30
EMP030,MongoDB,3,2.0,FALSE,FALSE,2023-09-28
EMP030,TypeScript,3,1.5,FALSE,FALSE,2023-09-25
